Title,Semester_Offered,Is_Graduate
Getting Started with AWS Machine Learning,3,1
C for Everyone: Programming Fundamentals,6,1
The Future of Work: Preparing for Disruption,3,0
Introduction to Machine Learning,6,1
Mathematical Economics,1,1
Introduction to Climate Change and Health,8,1
Managing People: Understanding Individual Differences,7,0
Joy of computing using Python,1,1
Hacking Exercise For Health,7,1
Programming in Java,4,1
The New World of Arnold Schönberg’s Piano Music,8,1
America’s Opioid Epidemic: From Evidence to Impact,3,1
The Health Effects of Climate Change,6,1
Fundamentals of Statistics,8,0
Counseling Practice and Research,1,1
Know your customers,2,1
Research and Development in Discrete Industries,3,0
Foundational Skills for Communicating About Health,4,1
Cannabis Mental Health and Brain Disorders,5,0
An Introduction to Programming through C++,2,1
Understanding ADHD: Current Research and Practice,8,0
Digital Transformation in the Classroom,4,1
Artificial Intelligence Search Methods For Problem Solving,6,1
Python for Data Science,6,1
Exploring GraphQL: A Query Language for APIs,7,0
Applying Data Analytics in Marketing,3,0
CS50 for Lawyers,1,1
China’s Political and Intellectual Foundations,1,0
Improving Your Statistical Questions,6,1
The IB Extended Essay: Managing your Research Project,2,1
Science Communication and Public Engagement,4,1
Blockchain and FinTech: Basics Applications and Limitations,2,1
Advanced Android with Kotlin,6,1
Digital Security and Human Rights,1,0
Understanding Gender Inequality,6,0
Managing ADHD Autism Learning Disabilities and Concussion in School,8,1
Machine Learning with Python: from Linear Models to Deep Learning,8,0
Python and Statistics for Financial Analysis,3,1
Inclusive Education: Essential Knowledge for Success,8,0
Improving Your Study Techniques,6,1
Caring for Children Moving Alone: Protecting Unaccompanied and Separated Children,6,0
The Neuromarketing Toolbox,1,0
Diplomacy in the 21st Century,8,0
Child Protection: Children’s Rights in Theory and Practice,4,0
From data base to big data,4,1
Introduction to Android graphics,5,0
Empowering Yourself in a Post-Truth World,2,0
Ideas for a Better World: Leading Change Through Policymaking,2,1
Python for Data Science and AI,7,1
Gender and Sexuality: Applications in Society,8,1
Machine Learning,3,1
Hypothesis-Driven Development,8,1
Introduction to TensorFlow,2,1
Exploring Renewable Energy Schemes,7,0
Rhetoric: The Art of Persuasive Writing and Public Speaking,2,1
Basic Job Interview Skills,6,1
Academic writing for clarity and meaning,2,1
Developing Soft Skills and Personality,3,1
Data Analysis for Decision Making,6,0
Developing a Systems Mindset,7,1
Introduction to Self-Driving Cars,4,0
Negotiation skills: Negotiate and resolve conflict,8,0
Mindfulness and Resilience to Stress at Work,7,1
Backyard Meteorology: The Science of Weather,4,0
Food and Mood: Improving Mental Health Through Diet and Nutrition,1,0
Introduction to Encryption and Cryptography,7,1
English Pronunciation in a Global World,4,1
Ethical Hacking,4,0
Nutrition: Eating to Live Well,5,1
Understanding IELTS: Speaking,1,1
Herbal Medicine,6,1
Teaching English: How to Plan a Great Lesson,1,0
Introduction to Self-Determination Theory,4,1
Unlocking Information Security: Part Ⅰ,6,1
End of Life Care: Challenges and Innovation,8,0
Constitutional Interpretation,7,1
Python and Machine Learning for Asset Management,7,0
Critical thinking: reasoned decision making,1,0
Data Analysis: A Practical Introduction for Absolute Beginners,2,1
Understanding Multiple Sclerosis,3,0
The Tudors,2,1
Introduction to Applied Machine Learning,1,1
Programming Data Structures And Algorithms Using Python,2,0
The Language of Design: Form and Meaning,7,1
Differential Equations for Engineers,8,1
The Art of Structural Engineering: Vaults,1,0
Weight Management: Beyond Balancing Calories,3,0
Financial Development and Financial Inclusion,4,0
Women Making History: Ten Objects Many Stories,5,0
Steps in Japanese for Beginners1 Part1,3,0
Exploratory Data Analysis with MATLAB,6,0
Happier Employees and Return-On-Investment Course,6,0
Freedom of Expression and Information in the Time of Globalization,4,1
Introduction to Artificial Intelligence,7,0
Personal growth basics (for people with limited health abilities),3,0
Brand Identity and Strategy,4,1
Agile Leadership Principles,1,0
Successful Negotiation: Essential Strategies and Skills,5,1
Applying Data Analytics in Finance,1,1
